"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
1,"1950-1970",7.97089927835825,1.34019377946876,0.0218603118432735,1.15766738723554,106.35,68.45,0.00617705449291771,8.27345151674922,2190.6,54.4956215445142,-5.47907333571214,1.08152307579001,-7.29729163268728,-3.660855038737,-0.403050442169403,0.0816903736539686,-0.540385405601306,-0.265715478737499,6.36054018041149,0.96515527827103,0.982423166599317,0.668278389061649
1,"1990-2010",9.09944273139421,0.929891338291763,0.0119156070560769,0.964308735982291,102.65,31.9236842105263,0.00305807300705883,5.65010479641982,2414.4,54.1623719797773,-2.41515181577592,1.258252647948,-4.5304816112547,-0.299822020297134,-0.207794300796,0.108900020414876,-0.390873158835768,-0.0247154427562321,6.5818788851416,1.10220224076277,1.0498582003122,0.81237412423717
1,"1970-1990",8.12421449232269,0.750488386593762,0.0113442344736906,0.866307328027278,109.25,142.934210526316,0.0111908325829462,11.9555096305559,2418,62.653413193348,-7.65379823021842,2.70672310261106,-12.2042452619823,-3.10335119845459,-0.558120395227623,0.193646179390073,-0.883671494772283,-0.232569295682963,6.76072565533762,2.679234694567,1.63683679533636,0.572283720780009
2,"1950-1970",9.4604535928902,1.03636427789081,0.0120121849943144,1.01801978266182,106.7,57.1684210526316,0.00505193077344213,7.56098016480876,2261.4,82.2733147499795,-5.8278646782214,1.08521556199208,-7.65229065224404,-4.00343870419875,-0.504860230320109,0.0959407595678316,-0.666152437926961,-0.343568022713257,7.77484660041218,0.74555667973033,0.863456240773283,0.603589933103316
2,"1990-2010",10.6361437840028,0.814380825410009,0.00748531504827483,0.902430510017258,98.5,31.4210526315789,0.00321666528945928,5.60544847729233,2376,82.5379102256048,-1.50095250588248,1.42067848826875,-3.88934687241263,0.887441860647661,-0.163018363623219,0.149657966929809,-0.414618038055605,0.0885813108091659,7.74594337525177,0.631769450576366,0.79483926084232,0.849575586985366
2,"1970-1990",9.7300215216475,0.63563584469451,0.00677023447664988,0.797267737146381,104.75,75.1447368421053,0.00728795906772439,8.66860639561546,2451.6,89.8814498207452,-7.3509293672171,1.8883212509622,-10.5255081865904,-4.17635054784378,-0.694690086500187,0.18164011837991,-1.00005702142373,-0.389323151576641,7.99505627290947,0.93476913033316,0.966834593057758,0.499229141863601
3,"1950-1970",8.30813296647267,1.13327693896491,0.0170339187613401,1.06455480787271,107.15,119.502631578947,0.0110097623615578,10.9317259194945,2146.2,62.7516158114399,-8.55226263499151,1.33972529058032,-10.8045613522187,-6.2999639177643,-0.651367214389425,0.11107160699722,-0.838096866892917,-0.464637561885934,6.72190307556021,0.409883870717785,0.640221735586808,0.521332515964409
3,"1990-2010",9.3443285954858,0.785661624873153,0.00933339770153238,0.886375555209615,103.05,32.6815789473684,0.00313458094427517,5.71678047045436,2352.6,70.0991128334083,-1.79549451898725,1.4600936853631,-4.25015231913251,0.659163281158005,-0.154616748032226,0.131643310872075,-0.375930820621154,0.0666973245567029,7.1535966142982,1.27079581947119,1.12729579945602,0.856743463189669
3,"1970-1990",8.27266557596108,0.871339161586296,0.0131886792114472,0.933455495236005,107.85,77.2921052631579,0.00723820649511045,8.79159287405632,2307.6,69.6176306460718,-6.69649944204692,1.56101560565203,-9.3208236008144,-4.07217528327943,-0.506077898618217,0.127520112718122,-0.720460196478166,-0.291695600758268,7.02991919770777,1.10080764699467,1.04919380811873,0.602855408071399
4,"1950-1970",7.12220092776292,1.21362573158268,0.0257469965012058,1.10164682706514,108.7,87.0631578947368,0.00749652217316417,9.33076405739299,1776,51.0040201552436,-6.92796101660018,1.14846317806363,-8.85871664308756,-4.9972053901128,-0.43328281505795,0.0758020221429136,-0.560718490443132,-0.305847139672767,5.85991115934336,1.09672595041116,1.04724684311349,0.648377095066804
4,"1990-2010",8.30126611880006,1.00955292599795,0.0150677391751239,1.00476510986297,107.1,31.5684210526316,0.00280517863822682,5.61857820561675,2058,47.6493203843818,-1.32718304470404,1.28037080243893,-3.47969709828232,0.825331008874247,-0.0963888718764481,0.0991296445810125,-0.263042120045176,0.0702643762922804,5.93026599648048,0.953481917710663,0.976463986898986,0.90811080864276
4,"1970-1990",7.47965472412103,1.0455356985459,0.0213043745620866,1.02251440016554,106.95,91.4184210526316,0.00865035307732848,9.56129808407998,1984.2,50.1009588299058,-6.12759277332987,1.66482442574001,-8.92643664443311,-3.32874890222662,-0.39245284407401,0.118325642191701,-0.591377723672284,-0.193527964475736,6.18011276508952,0.743380929854979,0.862195412800937,0.675398194628941
5,"1950-1970",7.6472661334181,1.40934536503312,0.0249217351236646,1.18715852565406,112.9,75.6736842105263,0.00603853287318126,8.69906226041211,2055,69.8444701825992,-5.99510803980098,0.993112065026847,-7.66469287622214,-4.32552320337982,-0.397929501589172,0.0682934718809959,-0.512742068160884,-0.28311693501746,6.98212081167937,0.614520505622061,0.783913583006482,0.671709380436701
5,"1990-2010",8.5327389397132,0.970354392560984,0.014379592579268,0.985065679313305,109,34.1052631578947,0.00294592544457784,5.83997116070745,2326.8,56.8286262174248,-2.69207649109831,1.24498880245122,-4.78510757921675,-0.599045402979872,-0.204667144582526,0.0951548012859666,-0.364638026957643,-0.0446962622074103,6.52212082196117,0.746925028976353,0.864248244994662,0.81491852131752
5,"1970-1990",7.78384493471316,0.729028737829173,0.0132061429311607,0.853831797152796,111.2,76.2736842105263,0.00658639562909561,8.73348064694291,2229,66.1412749395271,-6.57820135814036,1.84618175399515,-9.68193674742334,-3.47446596885739,-0.434836141049712,0.131160376201108,-0.655338320971113,-0.214333961128311,6.90704016819626,1.08855768526341,1.04333967875444,0.647370735876864
