"siteslist","cc","meanmat30","varmat30","varlogmat30","sdmat30","meanmat45","varmat45","varlogmat45","sdmat45","meanmat60","varmat60","varlogmat60","sdmat60","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","mat30slope","mat30slopese","mat30slopeconfint11","mat30slopeconfint89","mat45slope","mat45slopese","mat45slopeconfint11","mat45slopeconfint89","mat60slope","mat60slopese","mat60slopeconfint11","mat60slopeconfint89","mat30slopelog","mat30slopelogse","mat30slopelogconfint11","mat30slopelogconfint89","mat45slopelog","mat45slopelogse","mat45slopelogconfint11","mat45slopelogconfint89","mat60slopelog","mat60slopelogse","mat60slopelogconfint11","mat60slopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse","lomatslopelogconfint11","lomatslopelogconfint89","meanmatlo","varmatlo","sdmatlo","mat30slopelog_exp","mat45slopelog_exp","mat60slopelog_exp"
1,"1950-1960",5.39812891160048,2.87058286508459,0.176799350932332,1.69427945306687,7.17826215839391,1.8144133632939,0.0417937977980398,1.34700161963299,7.52785229075578,2.62991127841458,0.0575332410866627,1.62170011975537,112,24,0.00193052987240449,4.89897948556636,2427.6,104.056742849817,-0.0333003435906793,1.02222566403611,-1.87058288248658,1.80398219530523,-0.418468779335557,1.27731650769214,-2.71423516320848,1.87729760453737,-2.47761959200633,0.611063038451207,-3.57590492195811,-1.37933426205454,-0.00420843288929385,0.036914793423912,-0.0705567038932854,0.0621398381146978,-0.0337720125908949,0.0750426796798106,-0.16864888948645,0.10110486430466,-0.146698148156971,0.0387857698278872,-0.216409191588469,-0.0769871047254729,-2.89279789936449,-0.227270683355683,0.0639152569407038,-0.342147847643013,-0.112393519068353,8.57256432451728,1.7195962200988,1.31133375618063,0.995800410154929,0.966791895892825,0.863554603627751
1,"2000-2010",5.55014503723491,2.77555099426058,0.176800541722945,1.66599849767657,6.89021337256178,1.80274436675611,0.040060964129237,1.34266316206117,8.52904079296764,1.11651398760774,0.0155996139093598,1.056652254816,110.9,31.4333333333333,0.00269170457947116,5.60654379572062,2270.4,116.430316374053,0.153574075751438,1.18856497838325,-1.9826760282663,2.28982417976918,1.95032088037197,1.30540353355335,-0.395927313926813,4.29656907467075,-3.28780530370453,1.47238918598761,-5.93418274955453,-0.641427857854536,-0.000814731262894396,0.0436231919075891,-0.0792202454291751,0.0775907829033864,0.132316646089573,0.0788055477415294,-0.00932336739039089,0.273956659569538,-0.25040772033878,0.117177967980579,-0.46101584933447,-0.0397995913430892,1.14412536059415,0.0986181944493526,0.171113939319443,-0.208930973932905,0.40616736283161,8.99806431500662,0.933191575811135,0.966018413805418,0.999185600540505,1.14146970396682,0.778483314875807
2,"1950-1960",3.32290315153378,3.03994426808124,2.03794449837878,1.74354359511922,5.07475471748827,2.66630752010634,0.135016030397564,1.6328831924257,5.51995069629162,3.1985004918512,0.125894683739788,1.788435207619,115.5,66.7222222222222,0.00499793166651869,8.16836716989523,2444.4,68.9057153074219,0.657617917573615,1.6399710541911,-2.28996037963258,3.60519621477981,0.209040880427119,1.76707758397819,-2.96699050299431,3.38507226384855,-3.13282041707025,1.17504818080059,-5.24477630010124,-1.02086453403925,-0.00539554625062346,0.017404473767882,-0.0366772259006385,0.0258861333993916,-0.00685096610509494,0.0679801301288168,-0.129034071530567,0.115332139320377,-0.134019632179405,0.0521273020221758,-0.227709885882245,-0.0403293784765651,-0.160648272511048,0.0032554873194372,0.126368685642236,-0.223871445374658,0.230382420013532,7.08919338993127,1.94050231237407,1.39301913568123,0.994618983565205,0.993172448262333,0.874572894662822
2,"2000-2010",3.53203217911744,3.00259337484981,2.08553035482534,1.73279928867997,5.08658539355233,2.7614255718635,0.137249771721931,1.66175376390833,6.68853263738489,1.30266195384507,0.0305410902851885,1.14134217211363,113.9,28.9888888888889,0.00230410912998475,5.38413306753175,2347.2,86.4294247920155,1.21635947240419,1.01088368416338,-0.600537722717048,3.03325666752543,1.49070864049329,1.0170782987938,-0.337322355799324,3.3187396367859,-3.49694404623403,1.11942842262527,-5.50893255991759,-1.48495553255046,0.00923943113092138,0.011288490808127,-0.0110497748457406,0.0295286371075834,0.0723354083072501,0.0380054222957076,0.00402691124646573,0.140643905368034,-0.196700395257764,0.0677789400765985,-0.318521894647558,-0.07487889586797,-0.558733570458383,-0.0333739521819031,0.197708941128056,-0.388723263100148,0.321975358736342,7.91798369398701,0.443094333585594,0.665653313358834,1.00928224643616,1.07501585284908,0.821436702780627
3,"1950-1960",1.97390318168628,3.80034350452464,0.620244475849343,1.94944697402228,4.03347986153552,2.98731789171449,0.275288388611716,1.72838592094315,4.50454907964335,3.52469179389567,0.315091335326606,1.87741625482887,115.4,122.044444444444,0.00891960189025069,11.0473727394546,1938,63.4994020061395,-0.972039067076094,1.97386664115508,-4.51973977690218,2.57566164274999,-1.14384067196178,2.2233368992559,-5.13992314846429,2.85224180454074,-4.94858588132495,1.12566994886165,-6.97179251207758,-2.92537925057232,-0.00919317317249358,0.0467465822586336,-0.0947235732562337,0.0763372269112466,-0.0430207480167407,0.0617961900115344,-0.154089237952907,0.0680477419194261,-0.141636022791223,0.0321076811815724,-0.199344300009017,-0.0839277455734285,3.01440333005088,0.149625879256429,0.147792416644842,-0.116006687050578,0.415258445563438,6.45072566226666,2.22171081090262,1.49054044255854,0.990848954848426,0.957891515511653,0.867937108327074
3,"2000-2010",2.11079027540081,3.8294356910493,0.621203475931459,1.95689439956511,3.9311612647887,3.20280689439433,0.272726072845703,1.78963876086609,5.97734412869103,0.992777945705659,0.0245369907887224,0.996382429444468,112.7,34.4555555555556,0.00289194301647651,5.86988548061677,2094,66.5543883452987,-0.702496875146542,1.03102209221055,-2.55558954722355,1.15059579693047,1.32262784814879,1.06116565179095,-0.584642915543107,3.22989861184068,-4.8681378111289,1.17300042140973,-6.97641318338321,-2.75986243887459,0.00314865666850128,0.0259908892663732,-0.0444058606903485,0.0507031740273511,0.0465887428129387,0.0324679202363751,-0.0117670048690624,0.10494449049494,-0.27973243295178,0.0703653921193194,-0.406202654578717,-0.153262211324843,2.20424373376871,0.144904297603994,0.134439988955121,-0.0967294755702616,0.386538070778249,6.88583855576693,0.886987281426156,0.941800021993075,1.00315361889466,1.04769104999409,0.755985991337015
4,"1950-1960",2.99527412659879,3.77246585083965,0.258581259239453,1.9422836689937,5.26442741856276,3.08876710421924,0.138027793662146,1.75748886318498,5.66807364380048,3.78490093900144,0.166000661392007,1.94548218676025,112.3,86.6777777777778,0.00703785695655458,9.31009010578189,2058,66.3319135202359,-0.885158737067123,1.66556742467885,-3.87874230122246,2.10842482708822,-1.19253395796262,1.82483287728679,-4.47237098397156,2.08730306804633,-3.99842863897537,0.929617217737726,-5.66926272394918,-2.32759455400156,0.0097454538726766,0.0631698689343732,-0.1058339939103,0.125324901655653,-0.062797125281395,0.0766854086641716,-0.200626537400129,0.0750322868373393,-0.162406244597634,0.0447503791177822,-0.242837692422416,-0.0819747967728518,-4.28218814705771,-0.291928163002854,0.182730141429877,-0.620355544539651,0.0364992185339424,6.7410321073907,1.07141818080083,1.03509331985132,1.00979309544542,0.93913398090604,0.850095787561925
4,"2000-2010",3.12816122040273,3.75193027047659,0.249172512989613,1.93699000267853,4.7042419238375,2.20198813833263,0.105047415106367,1.48390974736762,6.35584412023089,1.10511822682239,0.0289415801919587,1.05124603534206,113.4,24.2666666666667,0.00198220341890064,4.92612085384298,2145.6,77.4694724417722,-0.060892907981778,0.898893343688423,-1.6765058815083,1.55472006554474,1.30142356797055,1.07973611652078,-0.639224552392859,3.24207168833396,-3.16075431851607,1.22311421490775,-5.35910099399731,-0.962407643034826,0.0422545220057303,0.0306796092546437,-0.0138787636202549,0.0983878076317155,0.0596964302460464,0.0437406318834614,-0.0189201629653314,0.138313023457424,-0.163649998365283,0.0722049956377925,-0.293426604816915,-0.0338733919136522,0.0806413635882696,-0.00297579735216366,0.170113053490733,-0.308726038040455,0.302774443336128,7.41764499549303,0.464332966871327,0.681419816905354,1.04315995212824,1.06151425400779,0.849039134967317
5,"1950-1960",3.01353219070682,3.41775942895779,0.239140854754912,1.84871832060966,4.96186414030142,2.73219051248781,0.144565543420285,1.65293391050211,5.35118840498178,3.71330148118514,0.18408320860055,1.92699285966117,110.5,109.833333333333,0.0093331191735774,10.480139948175,2358,45.9763242986946,-1.08708213636532,1.9670509564763,-4.62253277373528,2.44836850100465,-2.01604386703217,2.12530296878515,-5.83592647396569,1.80383873990136,-4.81520414949434,0.893879162914876,-6.42180495759965,-3.20860334138904,0.027202871473443,0.0744582674130981,-0.109030519154985,0.163436262101871,-0.0867103117622085,0.0844401402913454,-0.238477578812285,0.065056955287868,-0.183721055333046,0.0460259706071669,-0.266445169104951,-0.100996941561141,-5.6544485005876,-0.297801394157782,0.266857850405554,-0.777434498830158,0.181831710514595,5.90482244866209,0.501506674597899,0.708171359628373,1.02757624752644,0.916942684672763,0.832167900251923
5,"2000-2010",3.20399992838502,3.3899845912007,0.219122485822698,1.84119107949194,4.88072114694603,2.7447731321335,0.143233478677293,1.65673568565825,6.38000805411702,1.51941708166319,0.0399351053942421,1.23264637332172,113.1,48.5444444444444,0.00387454459954449,6.96738433305099,2346,74.9782673467478,1.35541683674044,1.24913997436898,-0.889706861762138,3.60054053524302,1.23097513693435,1.42174369813103,-1.32437537250968,3.78632564637838,-4.72264975140629,1.09806456910805,-6.69624025141082,-2.74905925140177,0.078750093363536,0.0439274658450409,-0.00162227926478116,0.159122465991853,0.0630990684693311,0.0536994635850489,-0.0334168871204926,0.159615024059155,-0.250566446738962,0.0654192959644549,-0.368146873851102,-0.132986019626822,0.819162238893149,0.0588877965438836,0.203338139060922,-0.306579072007584,0.424354665095351,7.32930628779014,0.646593357902748,0.804110289638646,1.08193390581903,1.06513235503662,0.778359758827698
